Hari,Harga Bitcoin,Prediksi LSTM,Prediksi ARIMA,Selisih LSTM ($),Error LSTM (%),Selisih ARIMA ($),Error ARIMA (%)
516,95652.47,93640.06,95962.53,2012.41,2.1,310.06,0.32
517,97461.52,92498.84,95652.47,4962.69,5.09,1809.05,1.86
518,96449.05,94813.89,97461.52,1635.16,1.7,1012.47,1.05
519,97279.79,93143.84,96449.05,4135.95,4.25,830.73,0.85
520,95865.3,94537.02,97279.79,1328.28,1.39,1414.48,1.48
521,96002.16,92654.16,95865.3,3348.0,3.49,136.86,0.14
522,98768.53,93360.33,96002.16,5408.2,5.48,2766.37,2.8
523,96593.57,95746.59,98768.53,846.98,0.88,2174.96,2.25
524,99920.71,93040.49,96593.57,6880.22,6.89,3327.14,3.33
525,99923.34,97129.4,99920.71,2793.94,2.8,2.62,0.0
526,101236.02,95859.38,99923.34,5376.64,5.31,1312.68,1.3
527,97432.72,97745.09,101236.02,312.37,0.32,3803.3,3.9
528,96675.43,93384.81,97432.72,3290.62,3.4,757.29,0.78
529,101173.03,93932.27,96675.43,7240.76,7.16,4497.6,4.45
530,100043.0,97846.87,101173.03,2196.13,2.2,1130.03,1.13
531,101459.26,95754.53,100043.0,5704.73,5.62,1416.26,1.4
532,101372.97,97968.62,101459.26,3404.35,3.36,86.29,0.09
533,104298.7,97111.35,101372.97,7187.35,6.89,2925.73,2.81
534,106029.72,100283.88,104298.7,5745.84,5.42,1731.02,1.63
535,106140.6,100945.96,106029.72,5194.64,4.89,110.88,0.1
536,100041.54,101061.67,106140.6,1020.13,1.02,6099.06,6.1
537,97490.95,95118.63,100041.54,2372.32,2.43,2550.59,2.62
538,97755.93,94300.48,97490.95,3455.45,3.53,264.98,0.27
539,97224.73,94366.56,97755.93,2858.17,2.94,531.2,0.55
540,95104.94,93813.61,97224.73,1291.33,1.36,2119.79,2.23
541,94686.24,91917.93,95104.94,2768.31,2.92,418.7,0.44
542,98676.09,92003.96,94686.24,6672.13,6.76,3989.85,4.04
543,99299.2,95811.64,98676.09,3487.56,3.51,623.1,0.63
544,95795.52,95498.42,99299.2,297.1,0.31,3503.68,3.66
545,94164.86,92431.96,95795.52,1732.9,1.84,1630.66,1.73
546,95163.93,91587.68,94164.86,3576.25,3.76,999.07,1.05
547,93530.23,92590.66,95163.93,939.57,1.0,1633.7,1.75
548,92643.21,90693.11,93530.23,1950.1,2.1,887.02,0.96
